"","P","Sub","Number","Species","Ht","DBH","D30","Code","Max_DBH","Max_D30","CSA_BH","CSA_30","Density_expand","CSA_30_expand","CSA_BH_expand","DBH_eff","D30_eff","FG","Life.Form"
"119",1,6,"121","Gochnatia polymorpha",2,"1.5","3.2","GOPO",1.5,3.2,1.767144375,8.0424704,4,32.1698816,7.0685775,0.749999683250984,1.59999932426877,"G","tree"
"120",1,6,"122","Rapanea umbellata",2.55,"1.3","1.8","RAUM",1.3,1.8,1.327321775,2.5446879,4,10.1787516,5.3092871,0.649999725484186,0.89999961990118,"G","tree"
"121",1,6,"123","Rapanea umbellata",2.6,"1.7","2","RAUM",1.7,2,2.269798775,3.14159,4,12.56636,9.0791951,0.849999641017781,0.999999577667978,"G","tree"
"122",1,6,"124","Myrcia fallax",2.7,"3.6","3.5","MYFA",3.6,3.5,10.1787516,9.621119375,4,38.4844775,40.7150064,1.79999923980236,1.74999926091896,"G","tree"
"123",1,6,"125","Myrcia fallax",2.2,"1.9","4.1","MYFA",1.9,4.1,2.835284975,13.202531975,4,52.8101279,11.3411399,0.949999598784579,2.04999913421936,"G","tree"
"124",1,6,"126","Myrcia fallax",2.7,"2.1+1.3+1.2","5.1","MYFA",2.1,5.1,5.92189715,20.428188975,1,20.428188975,5.92189715,1.37295244193257,2.54999892305334,"G","tree"
"125",1,6,"127","Rapanea umbellata",7,"5.2","6.2","RAUM",5.2,6.2,21.2371484,30.1906799,1,30.1906799,21.2371484,2.59999890193674,3.09999869077073,"G","tree"
"126",1,6,"128","Vochysia tucanorum",8,"16.2","18.7","VOTU",16.2,18.7,206.1197199,274.645651775,1,274.645651775,206.1197199,8.09999657911062,9.3499960511956,"G","tree"
"127",1,6,"129","Myrcia fallax",3,"6.5","6.4","MYFA",6.5,6.4,33.183044375,32.1698816,1,32.1698816,33.183044375,3.24999862742093,3.19999864853753,"G","tree"
"128",1,6,"130","Rapanea umbellata",7,"5.9","6.8","RAUM",5.9,6.8,27.339686975,36.3167804,1,36.3167804,27.339686975,2.94999875412054,3.39999856407113,"G","tree"
"129",1,6,"131","Gochnatia polymorpha",6,"6.8","8.5","GOPO",6.8,8.5,36.3167804,56.744969375,1,56.744969375,36.3167804,3.39999856407113,4.24999820508891,"G","tree"
"130",1,6,"132","Ocotea corymbosa",6.5,"7.5","8.1","OCCO",7.5,8.1,44.178609375,51.529929975,1,51.529929975,44.178609375,3.74999841625492,4.04999828955531,"G","tree"
"131",1,6,"133","Rapanea umbellata",5,"5","6.2","RAUM",5,6.2,19.6349375,30.1906799,1,30.1906799,19.6349375,2.49999894416995,3.09999869077073,"G","tree"
"132",1,6,"134","Vochysia tucanorum",5.5,"5.1","6.8","VOTU",5.1,6.8,20.428188975,36.3167804,1,36.3167804,20.428188975,2.54999892305334,3.39999856407113,"G","tree"
"133",1,6,"135","Annona crassiflora",4.8,"9","10.5","ANCR",9,10.5,63.6171975,86.590074375,1,86.590074375,63.6171975,4.4999980995059,5.24999778275689,"S","tree"
"134",1,6,"136","Myrcia fallax",3.1,"7.8+5.7","6.2+5.1","MYFA",7.8,6.2,73.301148675,50.618868875,1,50.618868875,73.301148675,4.83037061641034,4.01403617202853,"G","tree"
"135",1,6,"137","Bowdichia virgilioides",4.5,"5.4","6.5","BOVI",5.4,6.5,22.9021911,33.183044375,1,33.183044375,22.9021911,2.69999885970354,3.24999862742093,"S","tree"
"136",1,6,"138","Gochnatia polymorpha",5,"7","11.3","GOPO",7,11.3,38.4844775,100.287406775,1,100.287406775,38.4844775,3.49999852183792,5.64999761382408,"G","tree"
"137",1,6,"139","Myrcia fallax",3,"6.8","7.5","MYFA",6.8,7.5,36.3167804,44.178609375,1,44.178609375,36.3167804,3.39999856407113,3.74999841625492,"G","tree"
"138",1,7,"140","Vochysia tucanorum",2.6,"2.8","4.2","VOTU",2.8,4.2,6.1575164,13.8544119,4,55.4176476,24.6300656,1.39999940873517,2.09999911310275,"G","tree"
