"","Code","N","Leaf_size","Leaf_thickness","Max_height","Height_at_5cm","Crown_ratio_at_5cm","Light_at_5cm","SLA","Bark_at_5cm","Bark_at_8mm","Wood_density","FG","Habit"
"59","OCCO",13,1410.84889908333,0.256666666666667,0,5.02547902084358,0.86810384251038,3.19717183890239,73.7250231566667,5.76395728023098,0.856408758299991,0.614587759166667,"G","tree"
"60","OCMI",7,2820.873337,0.217222222222222,0,4.41160410369116,0.584087072988934,2.23184797485918,121.749595138333,9.5192466167631,0.820373707704476,0.600404942,"G","tree"
"61","OCPU",5,855.36113334,0.286,0,3.88169744251847,0.594604188614537,3.35448583913289,62.093077238,2.1293490886424,0.649268310444435,0.649871574,"G","tree"
"62","OCVE",8,6015.256031,0.255555555555556,0,5.9776150251574,0.325170707512164,2.357698344086,116.231555285,7.23257638271555,0.936240023765912,0.488697248666667,"F","tree"
"63","OUSP",6,5549.4429898,0.438666666666667,0,2.63683139607238,0.773175277572585,3.59754348791664,68.010267606,9.86864418727615,1.79913981638955,0.590901634833333,"S","tree"
"64","PEOB",11,1708.68549266,0.256,0,6.13893985553189,0.575714058318904,2.5895943090356,77.209620044,3.9362354756343,0.734730535016475,0.542815699,"G","tree"
"65","PEWI",1,4642.38762,0.273333333333333,0,NA,0.548148148148148,0,71.98531167,7.61476488176377,1.57,0.502654867,"F","tree"
"66","PIAX",7,14217.568592,0.402,0,7.87160476224424,0.615058798064461,3.63815751877778,132.2398737,8.50376398123012,0.945303284370174,0.5718425744,"F","tree"
"67","PIRO",1,5127.449919,0.533333333333333,0,NA,0.675675675675676,0,55.12799185,11.7404394333955,0.59,0.426433915,"S","treelet"
"68","PLEL",8,618.52783586,0.208,0,4.31299828439202,0.31151470294978,2.38958235768604,118.88087017,13.169056181948,0.950783257334165,0.6970529618,"F","tree"
"69","PLPO",6,2983.34535372,0.256666666666667,0,3.38901372619565,0.535694219852901,2.55745314852411,77.29299389,9.2666005880478,1.35755909777529,0.6277457042,"S","tree"
"70","PLRE",5,195.798018534,0.156666666666667,0,7.28123001845931,0.192734518498201,1.67327509612823,138.361231806,9.97388470213611,0.956412015353674,0.5204944488,"S","tree"
"71","POTO",6,7829.0591055,0.285555555555556,0,9.63181994704325,-0.0920051054508753,2.44935569285084,95.12135381,14.6425043885194,1.6822511936537,0.534070578333333,"S","tree"
"72","PRHE",5,3687.8873574,0.194,0,7.06254172702651,0.5265711638833,2.63936039554072,120.547282918,2.97064959549268,0.922662193617521,0.5261088164,"G","tree"
