"","P","Sub","Number","Species","Ht","DBH","D30","Code","Max_DBH","Max_D30","CSA_BH","CSA_30","Density_expand","CSA_30_expand","CSA_BH_expand","DBH_eff","D30_eff","Life.Form","Phylo.name","Authority","Light.code","Char.height"
"38",1,2,"39","Gochnatia polymorpha",4.5,"9+7.1","10.3+7.8","GOPO",9,10.3,103.209085475,131.106404675,1,131.106404675,103.209085475,5.73170762082997,6.46006693077287,"tree","Gochnatia polymorpha","(Less.) G. Sancho",3,NA
"39",1,2,"40","Machaerium brasiliense",6.5,"6.1","7.6","MABR",6.1,7.6,29.224640975,45.3645596,1,45.3645596,29.224640975,3.04999871188733,3.79999839513832,"tree","Machaerium brasiliense","Vogel",5,NA
"40",1,2,"41","Gochnatia polymorpha",5,"6.2+6+6.3","12.8+7.8","GOPO",6.3,12.8,89.637416675,176.4631103,1,176.4631103,89.637416675,5.34157990669692,7.49466160378377,"tree","Gochnatia polymorpha","(Less.) G. Sancho",3,NA
"41",1,3,"42","Gochnatia polymorpha",3.2,"4.7+2.9+2.5","6.1","GOPO",4.7,6.1,28.863358125,29.224640975,1,29.224640975,28.863358125,3.03108763311963,3.04999871188733,"tree","Gochnatia polymorpha","(Less.) G. Sancho",NA,NA
"42",1,3,"43","Gochnatia polymorpha",2.8,"2.1","2.8","GOPO",2.1,2.8,3.463602975,6.1575164,4,24.6300656,13.8544119,1.04999955655138,1.39999940873517,"tree","Gochnatia polymorpha","(Less.) G. Sancho",2,NA
"43",1,3,"44","Gochnatia polymorpha",2.8,"2.2","2.7","GOPO",2.2,2.7,3.8013239,5.725547775,4,22.9021911,15.2052956,1.09999953543478,1.34999942985177,"tree","Gochnatia polymorpha","(Less.) G. Sancho",NA,NA
"44",1,3,"45","Myrcia fallax",1.9,"1.2+1.1","2","MYFA",1.2,2,2.081303375,3.14159,4,12.56636,8.3252135,0.813940686051625,0.999999577667978,"tree","Myrcia splendens","(Sw.) DC.",NA,NA
"45",1,3,"46","Vochysia tucanorum",4,"4.7","6.1","VOTU",4.7,6.1,17.349430775,29.224640975,1,29.224640975,17.349430775,2.34999900751975,3.04999871188733,"tree","Vochysia tucanorum","",3,NA
"46",1,3,"47","Zeyheria montana",1.9,"1.2","2.3","ZEMO",1.2,2.3,1.1309724,4.154752775,4,16.6190111,4.5238896,0.599999746600787,1.14999951431817,"shrub","Zeyheria montana","Mart.",NA,NA
"47",1,3,"48","Gochnatia polymorpha",3.2,"2.8+2","4.5+3.2","GOPO",2.8,4.5,9.2991064,23.946769775,4,95.7870791,37.1964256,1.72046432680104,2.76088637244449,"tree","Gochnatia polymorpha","(Less.) G. Sancho",NA,NA
"48",1,3,"49","Vochysia tucanorum",6,"9.3","7.9","VOTU",9.3,7.9,67.929029775,49.016657975,1,49.016657975,67.929029775,4.6499980361561,3.94999833178851,"tree","Vochysia tucanorum","",4,NA
"49",1,3,"50","Leptolobium elegans",4,"7.2","10.6","LEEL",7.2,10.6,40.7150064,88.2472631,1,88.2472631,40.7150064,3.59999847960472,5.29999776164028,"tree","Leptolobium elegans","Vogel",2,NA
"50",1,3,"51","Vochysia tucanorum",5,"8.6","10.5","VOTU",8.6,10.5,58.0879991,86.590074375,1,86.590074375,58.0879991,4.29999818397231,5.24999778275689,"tree","Vochysia tucanorum","",4,NA
"51",1,3,"52","Myrcia fallax",3,"5.9+5.5","7.3","MYFA",5.9,7.3,51.09796135,41.853832775,1,41.853832775,51.09796135,4.03298726275477,3.64999845848812,"tree","Myrcia splendens","(Sw.) DC.",2,NA
"52",1,3,"53","Myrcia fallax",4,"7.1+5.8","8","MYFA",7.1,8,66.012659875,50.26544,1,50.26544,66.012659875,4.58393741793019,3.99999831067191,"tree","Myrcia splendens","(Sw.) DC.",3,NA
"53",1,3,"54","Myrcia fallax",3,"5.2","5.4","MYFA",5.2,5.4,21.2371484,22.9021911,1,22.9021911,21.2371484,2.59999890193674,2.69999885970354,"tree","Myrcia splendens","(Sw.) DC.",3,NA
"54",1,3,"55","Gochnatia polymorpha",3.5,"5.1+5","8.5","GOPO",5.1,8.5,40.063126475,56.744969375,1,56.744969375,40.063126475,3.57106275895903,4.24999820508891,"tree","Gochnatia polymorpha","(Less.) G. Sancho",3,NA
"55",1,3,"56","Gochnatia polymorpha",5,"5.3+7.5","8.6","GOPO",7.5,8.6,66.24042515,58.0879991,1,58.0879991,66.24042515,4.59183865028622,4.29999818397231,"tree","Gochnatia polymorpha","(Less.) G. Sancho",4,NA
"56",1,3,"57","Myrcia fallax",4,"5.9+7.5","7.2","MYFA",7.5,7.2,71.51829635,40.7150064,1,40.7150064,71.51829635,4.77126616017458,3.59999847960472,"tree","Myrcia splendens","(Sw.) DC.",3,NA
"57",1,3,"58","Gochnatia polymorpha",5,"7.4","9.6","GOPO",7.4,9.6,43.0083671,72.3822336,1,72.3822336,43.0083671,3.69999843737152,4.7999979728063,"tree","Gochnatia polymorpha","(Less.) G. Sancho",4,NA
"58",1,3,"60","Annona coriacea",2.5,"5.2","6.3","ANCO",5.2,6.3,21.2371484,31.172426775,1,31.172426775,21.2371484,2.59999890193674,3.14999866965413,"tree","Annona coriacea","Mart.",4,NA
"59",1,3,"61","Vochysia tucanorum",4.5,"9","10.7","VOTU",9,10.7,63.6171975,89.920159775,1,89.920159775,63.6171975,4.4999980995059,5.34999774052368,"tree","Vochysia tucanorum","",2,NA
