"","X","Genus","Species","Family","Old.name","Code","FG","Life.Form","New.name","NewCode","Authority","species.relative","genus.relative","classification80","classification70","classification66"
"142",142,"Eugenia","myrcianthes","Myrtaceae","Eugenia myrcianthes","EUMY","G","tree","Eugenia myrcianthes","EUMY","Nied.","",NA,"G","G","G"
"143",143,"Eugenia","punicifolia","Myrtaceae","Eugenia punicifolia","EUPU","S","treelet","Eugenia punicifolia","EUPU","(Kunth) DC.","",NA,"S","S","S"
"149",149,"Myrcia","splendens","Myrtaceae","Myrcia splendens","MYFA","G","tree","Myrcia splendens","MYRCSPL","(Sw.) DC.","",NA,"G","F","F"
"151",151,"Myrcia","lingua","Myrtaceae","Myrcia lingua","MYLI","S","tree","Myrcia guianensis","MYRCGUI","(Aubl.) DC.","",NA,"G","G","G"
"152",152,"Myrcia","multiflora","Myrtaceae","Myrcia multiflora","MYMU","G","tree","Myrcia multiflora","MYRCMUL","(Lam.) DC.","",NA,"G","G","F"
"153",153,"Myrcia","tomentosa","Myrtaceae","Myrcia tomentosa","MYTO","S","tree","Myrcia tomentosa","MYRCTOM","(Aubl.) DC.","",NA,"G","G","G"
"154",154,"Myrcia","venulosa","Myrtaceae","Myrcia venulosa","MYVE","S","tree","Myrcia venulosa","MYRCVEN","DC.","",NA,"G","G","G"
"165",165,"Ouratea","spectabilis","Ochnaceae","Ouratea spectabilis","OUSP","S","tree","Ouratea spectabilis","OUSP","(Mart. ex Engl.) Engl.","",NA,"S","S","S"
"166",166,"Pera","obovata","Peraceae","Pera obovata","PEOB","G","tree","Pera glabrata","PEGL","(Schott) Poepp. ex Baill.","",NA,"G","G","F"
"169",169,"Rapanea","ferruginea","Primulaceae","Rapanea ferruginea","RAFE","G","tree","Myrsine coriacea","MYRSCOR","(Sw.) R.Br. ex Roem. & Schult.","",NA,"G","F","F"
"170",170,"Rapanea","guianensis","Primulaceae","Rapanea guianensis","RAGU","S","tree","Myrsine guianensis","MYRSGUI","(Aubl.) Kuntze","",NA,"G","G","G"
"171",171,"Rapanea","umbellata","Primulaceae","Rapanea umbellata","RAUM","G","tree","Myrsine umbellata","MYRSUMB","Mart.","",NA,"G","G","G"
"172",172,"Rapanea","lancifolia","Primulaceae","Rapanea lancifolia","RALA","F","tree","Myrsine lancifolia","MYRSLAN","Mart.","",NA,"G","G","F"
"173",173,"Roupala","montana","Proteaceae","Roupala montana","ROMO","S","tree","Roupala montana","ROMO","Aubl.","",NA,"G","G","S"
"175",175,"Prunus","myrtifolia","Rosaceae","Prunus myrtifolia","PRMY","G","tree","Prunus myrtifolia","PRMY","(L.) Urb.","",NA,"F","F","F"
"176",176,"Alibertia","edulis","Rubiaceae","Alibertia edulis","ALED","F","treelet","Alibertia edulis","ALED","(Rich.) A.Rich. ex DC.","",NA,"F","F","F"
"177",177,"Amaioua","intermedia","Rubiaceae","Amaioua intermedia","AMIN","G","tree","Amaioua intermedia","AMIN","Mart. ex Schult. & Schult.f.","",NA,"G","F","F"
"181",181,"Faramea","montevidensis","Rubiaceae","Faramea montevidensis","FAMO","G","tree","Faramea montevidensis","FAMO","(Cham. & Schltdl.) DC.","",NA,"F","F","F"
"187",187,"Tocoyena","formosa","Rubiaceae","Tocoyena formosa","TOFO","S","shrub","Tocoyena formosa","TOFO","(Cham. & Schltdl.) K.Schum.","",NA,"S","S","S"
"188",188,"Guettarda","viburnoides","Rubiaceae","Guettarda viburnoides","GUVI","F","tree","Guettarda viburnoides","GUVI","Cham. & Schltdl.","",NA,"G","F","F"
"191",191,"Helietta","apiculata","Rutaceae","Helietta apiculata","HEAP","F","tree","Helietta apiculata","HEAP","Benth.","",NA,"F","F","F"
"192",192,"Zanthoxylum","rhoifolium","Rutaceae","Zanthoxylum rhoifolium","ZARH","G","tree","Zanthoxylum rhoifolium","ZARH","Lam.","",NA,"G","F","F"
"196",196,"Casearia","sylvestris","Salicaceae","Casearia sylvestris","CASY","F","tree","Casearia sylvestris","CASY","Sw.","",NA,"G","F","F"
"197",197,"Cupania","tenuivalvis","Sapindaceae","Cupania tenuivalvis","CUTE","G","treelet","Cupania tenuivalvis","CUTE","Radlk.","",NA,"F","F","F"
