P,Especie,Sub,N,H.1,H.2,DAP.1,DAP.2,D.30cm.1,D.30.2,obs,Form.DAP1,For.DAP2,cresc
13,Styrax camporum Pohl,10,2677,3.5,,3.5+1.2,3.7,5.2,5.7,,3.7,3.7,0
13,Ocotea minarum (Nees & Mart.) Mez,10,2678,2,0.98,1.2,0,1.5,0.95,,1.2,0,-1.2
13,Myrcia splendens (Sw.) DC.,10,2679,3,,3.6,3.7,4,3.8,,3.6,3.7,0.1
13,Myrcia splendens (Sw.) DC.,10,2680,3,,2.1+2.3,3,2.9,3.8,,3.1144823,3,-0.1144823
13,Myrcia splendens (Sw.) DC.,10,2681,2.5,0.89,2.5,0,2.5,0.41,,2.5,0,-2.5
13,Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.,10,2682,4,,2.9,2.9,3.1,3.2,,2.9,2.9,0
13,Myrcia multiflora (Lam.) DC.,10,2683,2.8,1.7,1,0,1.3,0.7,,1,0,-1
13,Ocotea corymbosa (Meisn.) Mez,10,2684,2.5,1,1.1,0,1.4,0.57,,1.1,0,-1.1
14,Cupania vernalis Cambess.,1,2685,6,m,5.6,m,5.5,m,m,5.6,,#VALUE!
14,Tapirira guianensis Aubl.,1,2686,8,,8.8,10.3,10,11.7,,8.8,10.3,1.5
14,Tapirira guianensis Aubl.,1,2687,7,,5.8,8.2,7.2,9.9,?,5.8,8.2,2.4
14,Pera glabrata (Schott) Poepp. ex Baill.,1,2688,7,,5.6,6.3,6.2,6.7,,5.6,6.3,0.7
14,Pera glabrata (Schott) Poepp. ex Baill.,1,2689,10,,25.5,25.9,29.9,30.3,,25.5,25.9,0.4
14,Matayba elaeagnoides Radlk.,1,2690,10,,11.7,13.3,13.4,14,,11.7,13.3,1.6
14,Pera glabrata (Schott) Poepp. ex Baill.,1,2691,12,,21.1,23,25,28.1,,21.1,23,1.9
14,Terminalia glabrescens Mart.,1,2692,10,,14.3,15.1,15.3,16,,14.3,15.1,0.8
14,Syagrus romanzoffiana (Cham.) Glassman,1,2693,7,,12.4,17.3,18.5,23.8,,12.4,17.3,4.9
14,Myrcia splendens (Sw.) DC.,1,2694,5,,6.7,6.8,7.1,7,?,6.7,6.8,0.1
14,Matayba elaeagnoides Radlk.,1,2695,10,,24.4,26.3,27.6,29,,24.4,26.3,1.9
14,Casearia sylvestris Sw.,1,2696,6,,6.2,6.5,7,7.2,,6.2,6.5,0.3
14,Moquiniastrum polymorphum (Less.) G. Sancho,1,2697,6,,5.3,5.5,7.2,7.7,above 30cm,5.3,5.5,0.2
14,Moquiniastrum polymorphum (Less.) G. Sancho,1,2698,5,,5.8,5.6,7,7,,5.8,5.6,-0.2
14,Lacistema hasslerianum Chodat,1,2699,7,,7.5,8.7,8.6,9.2,,7.5,8.7,1.2
14,Styrax camporum Pohl,1,2700,6,m,5.1+6.6,m,10.7,m,m,8.340863265,,#VALUE!
14,Pera glabrata (Schott) Poepp. ex Baill.,1,2701,8,,6,6,7.2,7.2,,6,6,0
14,Casearia sylvestris Sw.,1,2702,8,,9.4,9.3,11,11.2,,9.4,9.3,-0.1
14,Siparuna guianensis Aubl.,1,2703,4,,2,3.2,2.2,3.5,,2,3.2,1.2
14,Faramea montevidensis (Cham. & Schltdl.) DC.,1,2704,2.2,,1.1,1,2.7,2.8,,1.1,1,-0.1
14,Ocotea minarum (Nees & Mart.) Mez,1,2705,5,,3.8,3.9,4.6,4.7,DA 28 cm,3.8,3.9,0.1
14,Tapirira guianensis Aubl.,1,2706,2.8,,1.4,1.1,1.6,1.4,,1.4,1.1,-0.3
14,Myrcia tomentosa (Aubl.) DC.,1,2707,2,m,2.1,m,2.8,m,m,2.1,,#VALUE!
14,Moquiniastrum polymorphum (Less.) G. Sancho,1,2708,3.5,,1.8,3,3.9,5,,1.8,3,1.2
14,Myrsine umbellata Mart.,1,2709,3,m,2,m,3,m,m,2,,#VALUE!
14,Ocotea minarum (Nees & Mart.) Mez,1,2710,3.5,m,2.1,m,2.4,m,m,2.1,,#VALUE!
14,Ocotea minarum (Nees & Mart.) Mez,1,2711,3,m,1.5,m,1.9,m,m,1.5,,#VALUE!
14,Machaerium brasiliense Vogel,1,2712,5,,6,6.2,6.8,7.1,,6,6.2,0.2
14,Tapirira guianensis Aubl.,1,2713,4,,1.5,2.4,1.8,2.4,,1.5,2.4,0.9
14,Moquiniastrum polymorphum (Less.) G. Sancho,1,2714,4,,2.2,2.1,2.8,2.9,,2.2,2.1,-0.1
14,Moquiniastrum polymorphum (Less.) G. Sancho,1,2715,4,,2+1.1+1.9+3.5,2.3+3.2+3.5,4.7,5.1,,4.590206967,5.270673581,0.680466614
14,Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.,1,2716,NA,,1.6,1.9+1.1,2,2.2,,1.6,2.19544984,0.59544984
14,Citrus x limon (L.) Osbeck,1,2717,3,,3.3+3.8+5.2,3.2+3.9+3.7,3.1+3.9+4.9,4.9+3.9+3.1,,7.236711961,6.256196928,-0.980515033
14,Myrcia splendens (Sw.) DC.,1,2718,6,,5,5.1,5,5,,5,5.1,0.1
14,Matayba elaeagnoides Radlk.,1,2719,2.2,m,1,m,1.5,m,,1,,#VALUE!
14,Myrcia splendens (Sw.) DC.,1,2720,5,,4.5,4.9,5.9,7.5,,4.5,4.9,0.4
14,Tapirira guianensis Aubl.,2,2722,12,,11.7,14.1,13.4,15.5,cipo,11.7,14.1,2.4
14,Myrcia tomentosa (Aubl.) DC.,2,2723,5,,7.1,5+7.2,9.3,9,,7.1,8.7658428,1.6658428
14,Ocotea corymbosa (Meisn.) Mez,2,2724,9,,13.3,13.9,14,14.6,,13.3,13.9,0.6
14,Eugenia myrcianthes Nied.,2,2725,8,,9.5,9.8,11,11.4,,9.5,9.8,0.3
