Genus,Species,Family,Old.name,Code,FG,Life Form,New.name,NewCode,Authority,species.relative,genus.relative
Dalbergia,miscolobium,Fabaceae,Dalbergia miscolobium,DAMI,S,tree,Dalbergia miscolobium,DAMI,,,
Dimorphandra,mollis,Fabaceae,Dimorphandra mollis,DIMO,S,tree,Dimorphandra mollis,DIMO,Benth.,,
Hymenaea,stigonocarpa,Fabaceae,Hymenaea stigonocarpa,HYST,S,tree,Hymenaea stigonocarpa,HYST,,,
Leptolobium,elegans,Fabaceae,Leptolobium elegans,LEEL,S,tree,Leptolobium elegans,LEEL,Vogel,,
Machaerium,acutifolium,Fabaceae,Machaerium acutifolium,MAAC,S,tree,Machaerium acutifolium,MAAC,Vogel,,
Machaerium,brasiliense,Fabaceae,Machaerium brasiliense,MABR,G,tree,Machaerium brasiliense,MABR,Vogel,,
Machaerium,stipitatum,Fabaceae,Machaerium stipitatum,MAST,F,tree,Machaerium stipitatum,MAST,,,
Mimosa,dolens,Fabaceae,Mimosa dolens,MIDO,S,shrub,Mimosa dolens,MIDO,,,
Parapiptadenia,rigida,Fabaceae,Parapiptadenia rigida,PARI,F,tree,Parapiptadenia rigida,PARI,,,
Piptadenia,gonoacantha,Fabaceae,Piptadenia gonoacantha,PIGO,G,tree,Piptadenia gonoacantha,PIGO,,,
Plathymenia,reticulata,Fabaceae,Plathymenia reticulata,PLRE,S,tree,Plathymenia reticulata,PLRE,Benth.,,
Platypodium,elegans,Fabaceae,Platypodium elegans,PLEL,F,tree,Platypodium elegans,PLEL,Vogel,,
Senna,pendula,Fabaceae,Senna pendula,SEPE,F,treelet,Senna pendula,SEPE,,,
