OID,Individual,Old name,,Code,Number,Date,D30,DBH,Ht,Lower leaf,Bark1,Bark2,Bark3,Can 1 ,Can 2,Light ,Comments,
241,VOTU6,T3,,VOTU,6,6/10/2017,11.2,"8.5,5",430,158,8.34,9.72,8.78,,,4,,
242,MYFA6,T4,,MYFA,6,6/10/2017,"3.5,4.8","3.4,2.7",255,62,6.86,6.15,7.61,,,4,,
243,MYFA1,,,MYFA,1,6/12/2017,"4,3.2","1.53,2.85,1.89",270,82,3.1,3.9,3.5,,,3,,
244,JACA2,,,JACA,2,6/12/2017,"2.53,2.75","1.92,2.07,1.23",326,NA,1.1,1.65,1.19,,,3,lower leaf not collected,
245,MAAC4,,,MAAC,4,6/12/2017,7.8,6.9,380,169,1.714,1.526,1.32,,,4,,
246,MAAC3,,,MAAC,3,6/12/2017,6.2,5,350,202,9.68,9.91,9.96,,,3,,
247,TACA5,,,TACA,5,6/12/2017,19.8,"5.1,3.5,11,6.8",400,80,8.52,7.91,7.81,,,5,,
248,ERCU3,,,ERCU,3,6/12/2017,1.94,"1.17,.983",267,93,1.08,1.06,0.74,,,4,,
249,OCCO3,,,OCCO,3,6/12/2017,7,6.2,660,101,3.22,3.02,2.73,,,4,,
250,STRO4,,,STRO,4,6/12/2017,10,8.5,370,161,3.22,3.02,2.73,,,4,,
251,JACA1,,,JACA,1,6/12/2017,3.4,"1.87,2.69",300,80,1.66,1.34,1.65,,,4,,
252,STRO3,,,STRO,3,6/12/2017,5.7,"3.7,3.5",300,126,5.84,5.64,6.38,,,4,,
253,MYFA2,MYFA-A,,MYFA,2,6/15/2017,5.6,1.8,400,220,9.14,6.18,6.06,,,,1665,
254,VOTU3,,,VOTU,3,6/15/2017,7,5.8,450,140,6.8,6.6,6.14,,,,8355,
255,VOTU4,VOTU-A,,VOTU,4,6/15/2017,6.3,5,450,110,8.02,6.38,7.01,,,,8340,
256,MAEL3,MAEL-A,,MAEL,3,6/15/2017,1.8,1.9,400,200,4.09,3.5,3,,,,1362,
257,MILI2,MILI-B,,MILI,2,6/15/2017,"9.5,12.3,15.4","13.9,8,5.5,11.3",600,120,9.43,10.6,9.56,,,,1620,
258,PLPO2,PLPO-B,,PLPO,2,6/15/2017,6.2,4,220,90,12.64,13.62,13.87,,,,8330,
259,CAAD-B1,CAAD-?,Bonus,CAAD,,6/15/2017,3.4,NA,145,60,1.75,NA,NA,,,,8323 [not sure what's up with this individual -- entered data from recruit sheet but no matching leaf and wood measurements],
260,LEEL2,LEEL-A,,LEEL,2,6/15/2017,14,"8,8",500,50,18.49,19,16.88,,,,1564,
261,LEEL4,LEEL-C,,LEEL,4,6/15/2017,4.3,6.3,300,50,15.06,13.78,17.57,,,,1565,
262,PLPO1,PLPO-A,,PLPO,1,6/15/2017,4.2,3.6,250,170,7.78,9.06,9.45,,,,1559,
263,TAGU3,TAGU-C,,TAGU,3,6/15/2017,6.9,6,700,300,2.27,3.18,2.88,,,,1533,
264,TAGU2,TAGU-B,,TAGU,2,6/15/2017,6,5.4,700,220,2.76,2.46,2.53,,,,1513,
265,RAFE2,RAFE-A,,RAFE,2,6/15/2017,3.3,2.5,400,230,2.08,1.94,2.43,,,,1195,
266,LEEL3,LEEL-B,,LEEL,3,6/15/2017,7.3,4.8,190,50,24.8,24.21,26.7,,,,1173,
267,MAAC5,MAAC-A,,MAAC,5,6/15/2017,2.8,1.2,180,120,9.64,10.74,8.33,,,,1159,
268,RAUM2,RAUM-B,,RAUM,2,6/15/2017,10.7,7.5,550,210,3.05,3.68,2.9,,,,1057,
269,BYBA1,BYBA-A,,BYBA,1,6/15/2017,5.9,5.3,500,190,10.32,10.73,9.85,,,,1056 or maybe 1052?,
270,ANCR5,ANCR-A,,ANCR,5,6/15/2017,8.6,7,400,180,21.3,26.35,20.01,,,,1324,
271,TAGU1,TAGU-A,,TAGU,1,6/15/2017,6,5,500,190,3.24,3.36,2.67,,,,1243,
272,MILI1,MILI-A,,MILI,1,6/15/2017,2.8,1.5,250,150,2.4,2.07,2.58,,,,1238,
273,OCCO5,OCCO-B,,OCCO,5,6/15/2017,15.2,"7.3,9.1",700,150,5.01,7.15,5.53,,,,1215,
274,ZEMO1,ZEMO-A,,ZEMO,1,6/15/2017,4.6,4.1,280,110,6.4,7.08,9.31,,,,1197,
275,OUSP6,OUSP-C,,OUSP,6,6/16/2017,"7.2,10.5","5.8,6.8,8.3,6.6",460,60,9.27,11.62,13.56,,,5,5086,
276,SCVI1,SCVI-A,,SCVI,1,6/16/2017,1.8,1.3,230,40,1.7,1.56,1.67,,,4,5091,
277,RALA1,RALI-A,,RALA,1,6/16/2017,5.9,5.6,380,140,1.86,1.91,1.44,,,3,5075,
278,OUSP3,OUSP-A,,OUSP,3,6/16/2017,8.8,7.5,400,100,17.45,8.96,14.39,,,5,5068,
279,RAUM1,RAUM-A,,RAUM,1,6/16/2017,7.5,7.1,600,190,6.25,6.11,5.3,,,4,5024,
280,OUSP4,OUSP-B,,OUSP,4,6/16/2017,7.2,"6.2,5",400,260,13.08,13.01,13.33,,,4,5135,
281,CAAD2,CAAD-A,,CAAD,2,6/16/2017,4,"2.5,2.2",250,60,1.19,0.76,1.29,,,4,5155,
282,ERCU4,,,ERCU,4,6/16/2017,1.6,1.5,240,90,1.21,0.95,1.01,,,4,5131,
283,OCCO4,OCCO-A,,OCCO,4,6/16/2017,9.3,5.6,500,20,7.28,8.15,5.56,,,4,5108,
284,AEVE4,AEVE-A,,AEVE,4,6/16/2017,6.5,"1.5,1.7",200,50,3.5,3.26,2.41,,,5,5105,
285,CALU1,CALU-A,,CALU,1,6/16/2017,11.5,"6.5,7.6",700,120,9.56,7.45,7.33,,,4,5085,
286,OCCO6,OCCO-C,,OCCO,6,6/16/2017,"8.9,7.8","8.4,6.3",700,30,5.28,4.78,4.41,,,5,5096,
287,GOPO2,GOPO-A,,GOPO,2,6/16/2017,17.8,"14.3,8.3",600,130,25.93,23.02,31.38,,,5,5101,
288,OCPU4,OCPU-A,,OCPU,4,6/16/2017,3.8,2.3,400,130,1.81,1.25,1.45,,,3,5177 [ data from a tree labeled OCPU-C added here; bark thicknesses and lower leaf height matched from OCPU-A and OCPU-C so this seems legit -- SF 0724],
289,JACA5,,,JACA,5,7/11/2017,5.3,4.8,656,550,2.76,2.58,4.28,,,4,,
290,LAHA3,,,LAHA,3,7/11/2017,1.52,0.85,202,40,0.64,NA,NA,,,3,,
291,RAUM5,,,RAUM,5,7/11/2017,2.3,1.5,290,140,2.11,NA,NA,,,3,,
292,CUVE1,,,CUVE,1,7/11/2017,1.1,0.75,135,60,0.54,NA,NA,,,4,,
293,BYCO3,,,BYCO,3,7/11/2017,0.75,NA,99,40,0.35,NA,NA,,,3,,
294,PLEL1,,,PLEL,1,7/11/2017,6,5.5,360,205,8.6,9.06,9.53,,,3,,
295,BARU5,,,BARU,5,7/11/2017,1.11,0.4,165,120,0.97,NA,NA,,,3,,
296,RAFE4,,,RAFE,4,7/11/2017,1.59,0.9,197,90,1.38,NA,NA,,,4,,
297,VOTU5,,,VOTU,4,7/11/2017,7,5.3,340,130,6.3,6.98,7.95,,,4,,
298,QUCO3,,,QUCO,3,7/11/2017,3.2,2.2,220,130,5.07,4.34,5.56,,,3,,
299,QUCO4,,,QUCO,4,7/11/2017,7.8,"2.1,2,2.4",213,140,16.01,17.41,13.4,,,4,,
300,MYMU5,,,MYMU,5,7/11/2017,3,2.8,440,245,0.62,0.51,0.68,,,3,,
301,QUCO5,,,QUCO,5,7/11/2017,3.64,0.43,150,70,4.66,7.25,6.51,,,4,,
302,BYCO4,,,BYCO,4,7/11/2017,1.01,NA,80,40,0.82,NA,NA,,,4,,
303,LAHA4,,,LAHA,4,7/11/2017,0.47,NA,80,0,0.3,NA,NA,,,3,,
304,ALED3,,,ALED,3,7/11/2017,2.14,1.16,250,140,1.72,1.18,1.54,,,4,,
305,COSU4,,,COSU,4,7/11/2017,4.3,2.7,181,100,10.61,7.84,12.76,,,3,,
306,COSU5,,,COSU,5,7/11/2017,4.7,4.1,221,120,10.87,19.31,8.49,,,3,,
307,PEOB5,,,PEOB,5,7/11/2017,14.4,"8.1,6.5",670,400,7.54,3.64,4.87,,,5,,
308,LUGR1,,,LUGR,1,7/11/2017,5.8,4.6,340,150,10.02,8.63,10.68,,,4,,
309,ROMO5,,,ROMO,5,7/5/2017,3.8,1.658,220,76,6.64,4.03,4.07,,,3,,
310,DUFU4,,,DUFU,4,7/5/2017,3.2,0.654,166,44,2.32,4.08,2.4,,,3,,
311,ERGR2,,,ERGR,2,7/5/2017,8.1,7.4,250,50,18.44,17.93,15.35,,,3,,
312,QUGR4,,,QUGR,4,7/5/2017,10.4,7.3,500,300,15.74,12.96,14.13,,,4,,
313,TOFO5,,,TOFO,5,7/5/2017,1.67,1.23,205,140,0.72,NA,NA,,,3,,
314,POTO3,,,POTO,3,7/5/2017,21.5,18.5,550,300,29.41,29.93,25.75,,,4,,
315,RAFE5,RAFE5A,,RAFE,5,7/5/2017,2.9,2.4,240,200,1.83,1.77,1.26,,,3,,
316,ANDI3,,,ANDI,3,7/5/2017,0.88,NA,115,70,1.29,NA,NA,,,3,,
317,DAEL1,,,DAEL,1,7/5/2017,"5.5,3.5,4.4,4.8",".7,.7,.7,.7,.7,.7,.7,.7,.7,.7",200,60,5.53,8.12,6.96,,,4,,
318,CASY4,,,CASY,4,7/5/2017,1.48,0.78,185,100,1.47,NA,NA,,,3,,
319,SYPU3,,,SYPU,3,7/5/2017,4.8,3,450,215,10.59,10.51,13.96,,,3,,
320,ERGR3,,,ERGR,3,7/5/2017,11.8,11.5,400,240,24.04,25.77,28.93,,,4,,
321,CAGU1,,,CAGU,1,7/14/2017,6.9,5.9,500,420,1.52,1.76,1.04,,,3,,
322,OCVE1,,,OCVE,1,7/14/2017,8.1,7,500,262,6.04,5.7,5.74,,,3,,
323,CAGU2,,,CAGU,2,7/14/2017,6.5,6,570,372,1.29,1.68,1.8,,,3,,
324,CAGU3,,,CAGU,3,7/14/2017,7.1,6.6,745,378,2.32,3.32,1.32,,,3,,
325,OCVE6,,,OCVE,6,7/14/2017,7.6,5.3,652,412,6.66,7.39,6.92,,,3,,
326,OCMI6,,,OCMI,6,7/14/2017,6.5,5.1,543,262,5.68,5.78,7.75,,,3,,
327,EUMY1,,,EUMY,1,7/14/2017,5.2,4,585,452,4.5,4.4,4.64,,,3,,
328,OCVE2,,,OCVE,2,7/14/2017,3.8,3.5,632,385,3.87,2.9,3.01,,,4,,
329,OCMI1,,,OCMI,1,7/14/2017,16.5,14.2,1000,422,12.86,9.08,10.54,,,4,,
330,CASY6,,,CASY,6,7/14/2017,6.5,6.2,700,470,5.03,4.45,3.5,,,3,,
331,COLA6,,,COLA,6,7/14/2017,6.3,5.1,600,269,6.79,4.04,4.33,,,2,,
332,OCMI2,,,OCMI,2,7/14/2017,4.1,2.6,543,160,7.56,6.51,8.09,,,4,,
333,SIGU3,,,SIGU,3,7/14/2017,"1.39,1.29","1.09,.82",240,35,0.96,0.99,NA,,,2,,
334,OCVE3,,,OCVE,3,7/14/2017,11.5,9.6,707,471,10.49,9.97,8.95,,,2,,
335,OCMI3,,,OCMI,3,7/14/2017,2.1,1.8,520,110,4.32,3.94,4.13,,,2,,
336,CAGU4,,,CAGU,4,7/14/2017,2.2,1.4,259,90,0.9,1.22,0.91,,,2,,
337,SIGU4,,,SIGU,4,7/14/2017,3.9,3.4,650,262,2.2,1.84,2.11,,,3,,
338,CAGU5,,,CAGU,5,7/14/2017,10.2,9,654,210,2.52,2.51,1.94,,,2,,
339,OCVE4,,,OCVE,4,7/14/2017,5.1,2.7,487,410,5.45,5.1,7.82,,,2,,
340,OCVE5,,,OCVE,5,7/14/2017,10.2,8.5,512,345,9.69,12.33,11.75,,,3,,
341,OCMI4,,,OCMI,4,7/14/2017,2.5,2.1,412,238,4.98,4.49,4.74,,,2,,
342,EUMY-B1,EUMY2,Bonus,EUMY,,7/14/2017,8.6,7.9,800,433,5.35,5.3,5.45,,,3,figure out what this duplicate is doing here - sf 8/8/17,
343,ANCA1,,,ANCA,1,7/14/2017,27.3,24.1,1000,636,8.14,NA,NA,,,4,,
344,MYVE2,,,MYVE,2,7/24/2017,18.6,16.2,920,410,5.35,5.33,6.03,,,4,4200,
345,EUPU1,,,EUPU,1,7/24/2017,3.1,2.9,603,366,1.19,1.44,1.16,,,3,4252,
346,GUNI5,,,GUNI,5,7/24/2017,9.5,8.4,840,497,5.53,3.06,4.54,,,4,4244,
347,MYVE3,,,MYVE,3,7/24/2017,"11.3,10.1,8.8","7.8,8.8,8.5,5",860,400,4.72,3.32,3.97,,,4,4313,
348,EUPU2,,,EUPU,2,7/24/2017,5.7,4.9,637,545,1.94,1.69,1.97,,,3,4329,
349,PLRE3,,,PLRE,3,7/24/2017,18.9,18.8,725,521,12.54,11.14,9.93,,,3,4332,
350,CUTE2,,,CUTE,2,7/24/2017,"1.64,1.89","1.3,1.3",320,130,0.65,NA,NA,,,3,,
351,CUTE3,,,CUTE,3,7/24/2017,2.87,1.89,270,150,1.27,NA,NA,,,4,,
352,CUTE4,,,CUTE,4,7/24/2017,1.75,1.04,220,60,0.74,NA,NA,,,4,,
353,MYVE4,,,MYVE,4,7/24/2017,15.2,13.5,910,480,7.11,8.17,7.11,,,4,,
354,PLRE4,,,PLRE,4,7/24/2017,17.1,14.6,533,240,14.76,21.02,19.46,,,2,,
355,NECU2,,,NECU,2,7/24/2017,7.5,7.3,920,495,2.34,3.03,2.83,,,3,3474,
356,PLRE5,,,PLRE,5,7/24/2017,18.4,17.6,1010,460,14.89,16.24,24.22,,,3,4485,
357,MYVE5,,,MYVE,5,7/24/2017,13.4,12.2,1200,445,4.25,4.01,4.1,,,3,4509,
358,POTO6,,,POTO,6,7/24/2017,15.5,13.3,840,690,22.88,15.45,17.32,,,3,4512,
359,NECU3,,,NECU,3,7/24/2017,14.5,13.2,1200,780,5.29,4.6,4.14,,,4,4546,
360,NECU4,,,NECU,4,7/24/2017,6.5,6.4,850,595,3.02,2.62,3.11,,,3,4547,
361,PRHE3,,,PRHE,3,7/24/2017,10.6,9,890,570,3.64,2.4,2.9,,,3,4613,
362,NECU5,,,NECU,5,7/24/2017,3.1,2.8,565,225,1.25,NA,NA,,,2,4710,
363,MIAL4,,,MIAL,4,7/24/2017,16.6,11.6,483,241,15.15,11.27,21.09,,,3,2699,
364,STRO6,,,STRO,6,7/24/2017,2.37,NA,110,50,2.25,NA,NA,,,0,2743,
365,LAHA5,,,LAHA,5,7/15/2017,8.6,7.5,550,170,2.45,3.49,3.49,,,3,2699,
366,TAOC5,,,TAOC,5,7/15/2017,5.1,3.7,440,229,8.49,11.65,10.02,,,2,2743,
367,OCMI5,,,OCMI,5,7/15/2017,2.3,1.6,283,145,3.33,3.02,3.4,,,2,2760,
368,CUVE2,,,CUVE,2,7/15/2017,1.8,1.5,386,291,0.79,NA,NA,,,2,2774,
369,ALED4,,,ALED,4,7/15/2017,2,1.1,294,40,0.64,NA,NA,,,2,2775,
370,SIGU2,,,SIGU,2,7/15/2017,5.9,5.2,600,244,2.25,2.98,2.96,,,3,9144,
371,LIMO4,,,LIMO,4,7/15/2017,6.8,6.4,505,419,1.52,1.86,1.59,,,2,2784,
372,SIGU5,,,SIGU,5,7/15/2017,1.122,1.361,306,80,0.71,NA,NA,,,3,,
373,PRHE2,,,PRHE,2,7/15/2017,27.2,23,1300,320,6.32,5.84,5.29,,,5,2779,
374,NEOP1,,,NEOP,1,7/15/2017,9.5,8.7,1000,540,4.02,4.02,4.48,,,4,2850,
375,CUTE1,,,CUTE,1,7/15/2017,9.1,8.5,633,133,2.84,2.23,2.91,,,4,2841,
376,EUMY4,,,EUMY,4,7/15/2017,12.8,12.4,673,246,6.88,6.19,6.48,,,3,2843,
377,LIMO5,,,LIMO,5,7/15/2017,9.8,8.2,458,120,4.86,4.5,4.07,,,3,,
378,SIGU6,CALU2,,SIGU,6,7/20/2017,6.7,"4.3,3.2",660,432,2.19,2.71,2.67,,,3,3821,
379,DARA5,,,DARA,5,7/20/2017,10.3,9.5,810,625,9.61,9.97,7.87,,,4,3830,
380,POTO5,,,POTO,5,7/20/2017,21.4,19,648,348,31.61,19.68,27.26,,,4,3828,
381,NECU1,,,NECU,1,7/20/2017,9.6,9.2,900,540,4.49,5.27,4.91,,,4,3803,
382,GUNI4,,,GUNI,4,7/20/2017,7.4,7.3,710,515,4.11,5.06,3.96,,,3,3806,
383,MYVE1,,,MYVE,1,7/20/2017,9.5,7.3,920,370,5.39,5.24,5.34,,,4,3839,
384,AMIN5,,,AMIN,5,7/20/2017,7.6,6.2,890,412,3.5,4.24,4.7,,,4,3866,
385,DARA4,,,DARA,4,7/20/2017,10.4,9.5,660,445,5.43,5.61,6.07,,,3,3873,
386,AMIN6,,,AMIN,6,7/20/2017,9,7.8,850,330,3.2,3.15,3.32,,,3,3872,
387,PLRE2,,,PLRE,2,7/20/2017,7.8,8,620,500,9.54,9.53,9.01,,,3,3879,
388,QUMU5,,,QUMU,5,7/20/2017,18.2,12.2,680,485,11.61,9.42,9.73,,,4,3870,
389,GUNI3,,,GUNI,3,7/20/2017,13.1,"7,8.4",760,480,4.16,5.61,4.73,,,4,3897,
390,ANFA4,,,ANFA,4,7/20/2017,24.8,22.4,990,630,32.59,54.9,32.41,,,5,3907,
391,ANFA2,,,ANFA,2,7/20/2017,18.5,16.6,780,610,18.84,20.08,27.9,,,4,,
392,ANFA1,,,ANFA,1,7/20/2017,15.7,13.5,695,550,25.18,37.66,34.8,,,4,3945,
393,ANFA5,,,ANFA,5,7/20/2017,14.6,12.1,670,390,31.21,32.03,30.79,,,4,3940,
394,ANFA3,,,ANFA,3,7/20/2017,10.8,9.7,545,400,25.4,26.61,32.88,,,4,3939,
395,POTO4,,,POTO,4,7/20/2017,22.5,19.1,655,358,30.75,18.29,14.23,,,3,,
396,QUMU4,,,QUMU,4,7/20/2017,12,10.7,642,246,7.36,7.09,11.53,,,3,3944,
397,DARA2,,,DARA,2,7/20/2017,6,5.1,585,435,7.14,6.44,7.73,,,2,3975,
398,BYCO5,,,BYCO,5,7/20/2017,6.1,5,465,360,9.43,8.73,10.01,,,2,3994,
399,PLRE1,,,PLRE,1,7/20/2017,9.7,9.5,555,375,14.87,18.1,16.89,,,3,3989,
400,GUNI1,,,GUNI,1,7/20/2017,9.1,8.2,770,445,4.55,4.75,3.03,,,4,4033,
401,DARA3,,,DARA,3,7/20/2017,10,8.8,870,520,9.65,10.19,9.01,,,3,4073,
402,QUMU3,,,QUMU,3,7/20/2017,20.5,17.8,740,445,14.84,15.97,13.7,,,3,4100,
403,GUNI2,,,GUNI,2,7/20/2017,14.5,12.2,785,600,4.82,7.99,6.53,,,3,4122,
404,MIAL2,,,MIAL,2,7/18/2017,"4.955,2,2","1.3,1.1,2",292,30,7.22,6.1,5.63,,,4,,
405,CUVE3,,,CUVE,3,7/18/2017,2.56,2.08,420,220,1.14,0.83,0.94,,,3,,
406,CUVE4,,,CUVE,4,7/18/2017,6.5,6.08,400,200,1.55,1.97,1.81,,,3,,
407,LUGR2,,,LUGR,2,7/18/2017,2.76,2.63,360,240,2.81,3.19,2.83,,,3,,
408,ZEMO4,,,ZEMO,4,7/18/2017,1.16,NA,110,20,1.18,NA,NA,,,4,,
409,STAD4,,,STAD,4,7/18/2017,1.53,0.4,140,30,1.82,NA,NA,,,3,,
410,BADR2,,,BADR,2,7/18/2017,1.72,0.33,170,40,1.01,NA,NA,,,4,,
411,BADR3,,,BADR,3,7/18/2017,1.26,0.6,220,130,0.61,NA,NA,,,3,,
412,BADR4,,,BADR,4,7/18/2017,0.63,0.38,170,70,0.4,NA,NA,,,4,,
413,BADR5,,,BADR,5,7/18/2017,0.9,0.34,180,110,0.073,NA,NA,,,4,,
414,LUGR3,,,LUGR,3,7/18/2017,1.57,0.85,230,60,0.94,NA,NA,,,3,,
415,DIMO4,,,DIMO,4,7/18/2017,8,"5,4.1",250,110,12.4,13.19,9.93,,,4,,
416,DIMO5,,,DIMO,5,7/18/2017,9.5,7.2,420,130,16.13,17.7,19.61,,,5,,
417,PLEL2,,,PLEL,2,7/26/2017,1.17,0.8,170,140,0.65,NA,NA,,,3,,
418,PLEL3,,,PLEL,3,7/26/2017,3.89,2.5,280,180,6.28,6.28,5.87,,,3,,
419,TEGL5,,,TEGL,5,7/26/2017,14.6,13.7,530,337,8.11,8.86,8.57,,,3,,
420,LUCA4,,,LUCA,4,7/26/2017,"2.8,5.6,2.7,2.4","2.7,1.7,1.7,2",455,272,1.6,1.63,1.87,,,4,,
421,GOBA3,,,GOBA,3,7/26/2017,2.23,".43,.39",160,40,1.74,1.61,1.3,,,4,,
422,GOBA4,,,GOBA,4,7/26/2017,"1.4,1.33",".93,.84,.8",220,130,0.77,NA,NA,,,4,,
423,GOBA5,,,GOBA,5,7/26/2017,"2.65,2.73,2.69,2.76","3.45,2.93,2.99,2.46",357,60,4.37,3.69,2.91,,,4,,
424,ANDI4,,,ANDI,4,7/26/2017,"3.7,2.6,2.5,2,1.9",".5,.5,.5,.5,.5,.5,.5,.5,.5",170,40,2.57,NA,NA,,,4,,
425,TAOC3,TAOC6,,TAOC,3,7/26/2017,3.23,NA,120,80,10.38,NA,NA,,,4,,
426,LISA1,,,LISA,1,7/26/2017,0.8,0.31,172,30,0.67,NA,NA,,,4,,
427,BADR6,,,BADR,6,7/26/2017,3.25,"1.85,1.3,1.8,1.46",304,207,2.8,2.73,2.15,,,5,,
428,LISA2,,,LISA,2,7/26/2017,0.738,NA,90,40,0.55,NA,NA,,,4,,
429,KICO5,,,KICO,5,7/26/2017,4.9,"2.3,1.9,2.7",190,120,12.88,12.83,12.8,,,3,,
430,LUCA1,,,LUCA,1,7/27/2017,6.8,6,810,330,3.3,2.91,3.88,,,3,same datasheet from 7/15,
431,BALO1,,,BALO,1,7/27/2017,12.4,"10.4,7.9",680,450,6.96,4.6,4.46,,,3,,
432,EUMY2,,,EUMY,2,7/27/2017,18.6,"11.4,9.2",900,528,6.37,6.29,5.42,,,3,2863,
433,ALED5,,,ALED,5,7/27/2017,5.8,5.3,618,177,3.7,3.93,4.93,,,3,4947,
434,EUMY3,,,EUMY,3,7/27/2017,6.4,5.5,910,615,4.34,4.67,4.94,,,3,5009,
435,ANCA2,,,ANCA,2,7/27/2017,9.1,8.7,1300,900,7.99,9.28,8.56,,,4,4739,
436,CUVE5,,,CUVE,5,7/27/2017,4.4,4,586,463,2.1,2.44,2.33,,,2,4756,
437,EUMY5,,,EUMY,5,7/27/2017,6.7,5.8,657,456,3.28,4.14,3.25,,,2,4800,
438,LUCA2,,,LUCA,2,7/27/2017,4.9,4.5,505,270,2.61,2.15,2.02,,,2,,
439,LUCA3,,,LUCA,3,7/27/2017,3.8,3.8,1200,700,1.61,2.25,3.84,,,3,,
440,BALO3,,,BALO,3,8/4/2017,4.5,5.1,493,319,3.86,3.14,2.77,,,4,,
441,BALO4,,,BALO,4,8/4/2017,4.5,3.5,400,290,4.44,3.43,2.99,,,4,,
442,LUCA5,,,LUCA,5,8/4/2017,13.7,9.3,765,400,13.71,13.25,15.46,,,4,,
443,DAEL4,,,DAEL,4,8/4/2017,1.94,NA,85,10,3.94,NA,NA,,,3,,
444,DAEL5,,,DAEL,5,8/4/2017,1.04,NA,80,15,0.8,NA,NA,,,3,,
445,BALO5,,,BALO,5,8/4/2017,7,6,646,275,4.46,5.89,5.31,,,4,,
446,ANDI5,,,ANDI,5,8/4/2017,"1.32,1.28,1.25,1.1,1.1,.9,.9",".6,.5,.3",180,110,1.45,NA,NA,,,4,,
447,LISA3,,,LISA,3,8/4/2017,0.75,0.68,220,100,0.42,NA,NA,,,3,,
448,LISA4,,,LISA,4,8/4/2017,1.2,0.8,240,150,0.34,NA,NA,,,4,,
449,LISA5,,,LISA,5,8/4/2017,1.96,1.66,385,245,0.5,NA,NA,,,4,,
450,MIAL5,,,MIAL,5,8/4/2017,4.4,2.3,290,110,7.38,NA,NA,,,3,,
451,AEVE2,,,AEVE,2,8/5/2017,7.1,6,290,200,13.87,13.99,15.85,,,4,,
452,PIAX1,,,PIAX,1,8/5/2017,6.4,4.5,353,145,6.51,7.43,6.11,,,4,,
453,PIAX2,,,PIAX,2,8/5/2017,8.1,7.3,577,327,7.53,8.76,8.59,,,4,,
454,PIAX3,,,PIAX,3,8/5/2017,9.7,6.7,564,184,11.34,12,10.16,,,3,,
455,PIAX4,,,PIAX,4,8/5/2017,2,NA,127,40,2.52,NA,NA,,,4,,
456,PIAX5,,,PIAX,5,8/5/2017,11.7,10.3,725,263,11.71,9.61,12.77,,,4,,
457,CHMA4,,,CHMA,4,8/5/2017,0.77,0.26,150,10,0.22,NA,NA,,,2,,
458,CHMA5,,,CHMA,5,8/5/2017,0.37,NA,50,5,0.15,NA,NA,,,2,,
459,ZARH4,,,ZARH,4,8/3/2017,18,15.6,1400,724,4.78,3.8,4.02,,,4,,
460,PLEL4,,,PLEL,4,8/3/2017,15.4,11.7,1010,700,17.2,20.45,23.87,,,3,1394,
461,PLEL-B1,,Bonus,PLEL,,8/3/2017,16.2,18.4,1300,1000,30.72,29.88,30.36,,,4,1375,
462,TEGLB1,,Bonus,TEGL,,8/3/2017,76,"25.8,21.2,29.8,29.4,19.3",1300,340,19.55,10.82,13.79,,,5,1372,
463,CUTE5,,,CUTE,5,8/3/2017,"7.1,.9.3,3.1","6.5,5.7,3.8,2.5",580,303,2.3,2.42,2.37,,,3,1350,
464,LUGR5,,,LUGR,5,8/3/2017,30.5,"20,14.1",660,302,13.06,15.23,9.53,,,3,1356,
465,LUGR4,,,LUGR,4,8/3/2017,21,15.2,635,435,23.21,15.74,14.27,,,3,2074,
466,BALOB1,,Bonus,BALO,,8/3/2017,18.5,17.2,1500,900,4.08,4.95,4.88,,,5,2077,
467,ZARH5,,,ZARH,5,8/3/2017,12,10.1,910,415,4.5,4.33,2.65,,,4,2058,
468,BALO2,,,BALO,2,8/3/2017,5.5,4.6,451,278,2.68,4.02,4.08,,,3,,
469,STAD5,,,STAD,5,8/3/2017,1.1,NA,65,25,0.8,NA,NA,,,4,,
470,AEVE6,,,AEVE,6,8/3/2017,7,6.7,477,327,7.52,6.77,7.6,,,4,,
471,PLEL5,,,PLEL,5,8/3/2017,13.5,8.9,615,372,13.98,9.54,9.37,,,4,,
472,ZEMO5,,,ZEMO,5,8/3/2017,1.26,0.69,190,20,2.06,NA,NA,,,4,,
473,DAEL2,,,DAEL,2,8/3/2017,0.75,NA,120,5,0.46,NA,NA,,,3,,
474,DAEL3,,,DAEL,3,8/3/2017,0.74,NA,110,5,0.53,NA,NA,,,3,,
475,PRHE4,,,PRHE,4,8/7/2017,14.8,12.2,1200,565,4.07,3.62,3.22,,,4,,
476,PRHE5,,,PRHE,5,8/7/2017,14.4,13.2,1100,545,4.55,5.14,4.91,,,3,,
477,COLA-B1,,Bonus,COLA,,8/7/2017,26.3,25.7,NA,NA,13.48,15.32,20.66,,,NA,4183,
478,DARA-B1,,Bonus,DARA,,8/7/2017,25.7,16,NA,NA,11.63,14.14,9.07,,,NA,4141,
479,AMIN-B1,,Bonus,AMIN,,8/7/2017,15.5,NA,NA,NA,4.44,5.77,6.4,,,NA,4188,
480,ANFA-B1,,Bonus,ANFA,,8/7/2017,26,NA,NA,NA,54.25,56,46.91,,,NA,4174,
481,COLA-B2,,Bonus,COLA,,8/7/2017,37,NA,NA,NA,21.13,29.57,29.29,,,NA,4263,
482,COLA-B3,,Bonus,COLA,,8/7/2017,29,NA,NA,NA,21.22,14.6,16.76,,,NA,4269,
483,DARA-B2,,Bonus,DARA,,8/7/2017,10.8,NA,NA,NA,6.65,10.01,7.73,,,NA,4143,
