P,Sub,Number,Species,Ht,DBH,D30,,,,,
1,9,226,Myrcia fallax,3,5.5,5.6+4.8,,,,,
1,9,227,Myrcia fallax,4,6.5+6.2,10.3,,,,,
1,9,228,Gochnatia polymorpha,6,10.5,12.8,,,,,
1,9,229,Vochysia tucanorum,4,5.1,7,,,,,
1,9,230,Gochnatia polymorpha,5,8.8,10.6,,,,,
1,9,231,Myrcia fallax,4,5.1+7+5,6+5.3+4.6,,,,,
1,10,232,Vochysia tucanorum,2.5,1.5,3.8,,,,,
1,10,233,Gochnatia polymorpha,3.2,3.2,3.7,,,,,
1,10,234,Myrcia fallax,2.4,3.3+2.8,5.1,,,,,
1,10,235,Vochysia tucanorum,3.5,3.9,6,,,,,
1,10,236,Vochysia tucanorum,1.9,1.2,2.4,,,,,
1,10,237,Miconia albicans,2.2,1,1.5,,,,,
1,10,238,Vochysia tucanorum,2.2,1.4,2.7,,,,,
1,10,239,Vochysia tucanorum,8,11.2,13.5,,,,,
1,10,240,Gochnatia polymorpha,4.5,5.4,10.4,,,,,
1,10,241,Myrcia fallax,5,5.4,5.9,,,,,
1,10,242,Leptolobium elegans,4.5,7.8,11.5,,,,,
1,10,243,Gochnatia polymorpha,6,1.9,11.4,,,,,
1,10,244,Gochnatia polymorpha,6.5,5,8.1,,,,,
1,10,245,Gochnatia polymorpha,5,5.6,7.8,,,,,
1,10,246,Vochysia tucanorum,8,15,17.8,,,,,
1,10,247,Leptolobium elegans,5,10,11.7,,,,,
1,10,248,Ocotea corymbosa,6,7,7.1,,,,,
1,10,249,Vochysia tucanorum,6.5,8.5,10.3,,,,,
1,10,250,Gochnatia polymorpha,4.5,6.5,8.4,,,,,
1,10,251,Gochnatia polymorpha,4.5,5.8+5.1,10.4,,,,,
1,10,252,Vochysia tucanorum,8,14.2,17.7,,,,,
1,10,253,Leptolobium elegans,6,12.8,14,,,,,
1,10,254,Vochysia tucanorum,6,7.1,8.2,,,,,
1,10,255,Gochnatia polymorpha,7,10.4,14,,,,,
1,10,256,Rapanea umbellata,6,5.4,8.2,,,,,
1,10,257,Vochysia tucanorum,8,14.5,17.3,,,,,
1,10,258,Rapanea umbellata,6,5.9,6.6,,,,,
1,10,259,Symplocos pubescens,7,5.6,6.7,,,,,
1,10,260,Myrcia fallax,4,5,5.8,,,,,
2,1,261,Myrcia multiflora,4.5,2,2.1,,,,,
2,1,262,Lacistema hasslerianum,6,3.1,3.5,,,,,
2,1,263,Terminalia glabrescens,6,4.5,5.7,,,,,
2,1,264,Myrcia tomentosa,5,3.8,5.4,,,,,
2,1,265,Lacistema hasslerianum,6,3,3.4,,,,,
2,1,266,Lacistema hasslerianum,5,1.2,2,,,,,
2,1,267,Alibertia edulis,2.8,1.5,2.3,,,,,
2,1,268,Matayba elaeagnoides,3.5,1,1.2,,,,,
2,1,269,Lacistema hasslerianum,5,1.9,2,,,,,
2,1,270,Matayba elaeagnoides,3,2.2,3.5,,,,,
2,1,271,Alibertia edulis,2.5,1.2,1.5,,,,,
2,1,272,Cupania vernalis,3,1,1.8,,,,,
2,1,273,Matayba elaeagnoides,4,3,3.5,,,,,
2,1,274,Matayba elaeagnoides,4,2.9,3.1,,,,,
2,1,275,Lacistema hasslerianum,3.5,1.8,2.6,,,,,
2,1,276,Syagrus rommanzofiana,11,22,29.8,,,,,
2,1,277,Pera obovata,11,11.2,14.8,,,,,
2,1,278,Pera obovata,12,18.4,22.5,,,,,
2,1,279,Myrcia tomentosa,6,6.2,7.6,,,,,
2,1,280,Myrcia multiflora,7,5.4,6.8,,,,,
2,1,281,Eugenia myrcianthes,8,10.2,10.5,,,,,
2,1,282,Pera obovata,10,13.9,17.8,,,,,
2,1,283,Pera obovata,9,6.2,7,,,,,
2,1,284,Gochnatia polymorpha,9,12.8,17.7,,,,,
2,1,285,Myrcia fallax,3,5.6,5.4,,,,,
2,1,286,Terminalia glabrescens,10,9.5,12.2,,,,,
2,1,287,Machaerium acutifolium,5.5,5,6,,,,,
2,1,288,Vochysia tucanorum,5,6.3,7,,,,,
2,1,289,Myrcia tomentosa,5.5,5.8,9.5,,,,,
2,1,290,Matayba elaeagnoides,8,5.9,8,,,,,
2,1,291,Pera obovata,10,10.9,13.3,,,,,
2,1,292,Machaerium brasiliense,10,12.4,12.5,,,,,
2,1,293,Pera obovata,10,9.8,12.2,,,,,
2,2,294,Luehea candicans,8,4.9,5.3,,,,,
2,2,295,Lacistema hasslerianum,5,2.4,2.3,,,,,
2,2,296,Tabernaemontana catharinensis,4,4.8,5.6,,,,,
2,2,297,Erythroxylum pelleterianum,2,2.3,2.5,,,,,
2,2,298,Erythroxylum pelleterianum,2,2,3,,,,,
