Genus,Species,Family,detail,Code,FG,Life Form
Ouratea,spectabilis,Ochnaceae,,OUSP,S,tree
Palicourea,marcgravii,Rubiaceae,,PAMA,G,shrub
Parapiptadenia,rigida,Fabaceae,,PARI,F,tree
Pera,obovata,Peraceae,,PEOB,G,tree
Persea,willdenovii,Lauraceae,,PEWI,F,tree
Pinus,elliottii,Pinaceae,,PIEL,exo,tree
Piper,mollicomum,Piperaceae,,PIMO,F,shrub
Piptadenia,gonoacantha,Fabaceae,,PIGO,G,tree
Piptocarpha,axillaris,Asteraceae,,PIAX,F,tree
Piptocarpha,rotundifolia,Asteraceae,,PIRO,S,treelet
Plathymenia,reticulata,Fabaceae,,PLRE,S,tree
Platypodium,elegans,Fabaceae,,PLEL,F,tree
Plenckia,populnea,Celastraceae,,PLPO,S,tree
Pouteria,ramiflora,Sapotaceae,,PORA,G,tree
Pouteria,sp1.,Sapotaceae,,POUTE,S,tree
Pouteria,torta,Sapotaceae,,POTO,S,tree
Protium,heptaphyllum,Burseraceae,,PRHE,G,tree
Prunus,myrtifolia,Rosaceae,,PRMY,G,tree
Psidium,australe,Myrtaceae,,PSAU,S,shrub
Psidium,grandifolium,Myrtaceae,,PSGR,S,shrub
Psidium,grandifolium,Myrtaceae,,PSGR,S,shrub
Psidium,guajava,Myrtaceae,,PSGU,exo,tree
Psidium,laruotteanum,Myrtaceae,,PSLA,S,treelet
Psidium,salutare,Myrtaceae,var. pohlianum,PSSA,S,treelet
Psychotria,carthagenensis,Rubiaceae,,PSCA,F,shrub
Psychotria,vellosiana,Rubiaceae,,PSVE,G,treelet
Qualea,cordata,Vochysiaceae,,QUCO,S,tree
Qualea,grandiflora,Vochysiaceae,,QUGR,S,tree
Qualea,multiflora,Vochysiaceae,,QUMU,S,tree
Randia,calycina,Rubiaceae,,RACA,F,treelet
Rapanea,lancifolia,Primulaceae,,RALA,F,tree
Rhamnidium,elaeocarpum,Rhamnaceae,,RHEL,F,tree
Rollinia,sylvatica,Annonaceae,,ROSY,F,tree
Roupala,montana,Proteaceae,,ROMO,S,tree
Schefflera,vinosa,Araliaceae,,SCVI,S,treelet
Senna,pendula,Fabaceae,,SEPE,F,treelet
Senna,rugosa,Fabaceae,,SERU,S,shrub
Siparuna,guianensis,Siparunaceae,,SIGU,G,tree
Solanum,lycocarpum,Solanaceae,,SOLY,S,shrub
Stryphnodendron,adstringens,Fabaceae,,STAD,S,tree
Stryphnodendron,rotundifolium,Fabaceae,,STRO,S,tree
Styrax,camporum,Styracaceae,,STCA,S,tree
Styrax,ferrugineus,Styracaceae,,STFE,S,tree
Styrax,pohlii,Styracaceae,,STPO ,F,tree
Sweetia,fruticosa,Fabaceae,,SWFR,F,tree
Symplocos,mosenii,Symplocaceae,,SYMO,G,tree
Symplocos,pubescens,Symplocaceae,,SYPU,S,treelet
Tabebuia,ochracea,Bignoniaceae,,TAOC,G,tree
Tabernaemontana,catharinensis,Apocynaceae,,TACA,F,tree
Tapirira,guianensis,Anacardiaceae,,TAGU,G,tree
Terminalia,glabrescens,Combretaceae,,TEGL,G,tree
Tibouchina,stenocarpa,Melastomataceae,,TIST,S,tree
Tocoyena,formosa,Rubiaceae,,TOFO,S,shrub
Trichilia,pallida,Meliaceae,,TRPA,F,tree
Vernonanthura,phosphorica,Asteraceae,,VEPH,G,shrub
Vernonia,sp1.,Asteraceae,,VERNO1,S,shrub
Vernonia,sp2.,Asteraceae,,VERNO2,G,shrub
Vitex,megapotamica,Lamiaceae,,VIME,F,tree
Vochysia,tucanorum,Vochysiaceae,,VOTU,G,tree
Zanthoxylum,rhoifolium,Rutaceae,,ZARH,G,tree
Zeyheria,montana,Bignoniaceae,,ZEMO,S,shrub
Zeyheria,tuberculosa,Bignoniaceae,,ZETU,G,tree
