Species,Code,FG,Life Form,Species,,Code,Code
Mimosa dolens var. acerba,MIDO,S,shrub,Mimosa,dolens,MIDO,MIDO
Mimosa dolens var. rigida,MIDO,S,shrub,Mimosa,dolens,MIDO,MIDO
Mollinedia widgrenii,MOWI,F,tree,Mollinedia,widgrenii,MOWI,MOWI
Myrcia fallax,MYFA,G,tree,Myrcia,fallax,MYFA,MYFA
Myrcia lasiantha,MYLA,G,tree,Myrcia,lasiantha,MYLA,MYLA
Myrcia lingua,MYLI,S,tree,Myrcia,lingua,MYLI,MYLI
Myrcia multiflora,MYMU,G,tree,Myrcia,multiflora,MYMU,MYMU
Myrcia tomentosa,MYTO,G,tree,Myrcia,tomentosa,MYTO,MYTO
Myrcia tomentosa,MYTO,S,tree,Myrcia,tomentosa,MYTO,MYTO
Myrcia venulosa,MYVE,S,tree,Myrcia,venulosa,MYVE,MYVE
Myrciaria floribunda,MYFL,G,tree,Myrciaria,floribunda,MYFL,MYFL
Myrsine coriacea subsp. coriacea,MYCO,G,tree,Myrsine,coriacea,MYCO,MYCO
Myrsine guianensis,MYGU,S,tree,Myrsine,guianensis,MYGU,MYGU
Myrsine umbellata,MYUM,G,tree,Myrsine,umbellata,MYUM,MYUM
Myrtaceae sp1.,MYSP,,,Myrtaceae,sp1.,MYSP,MYSP
Nectandra cuspidata,NECU,F,tree,Nectandra,cuspidata,NECU,NECU
Nectandra lanceolata,NELA,F,tree,Nectandra,lanceolata,NELA,NELA
Nectandra oppositifolia,NEOP,F,tree,Nectandra,oppositifolia,NEOP,NEOP
Ocotea corymbosa,OCCO,G,tree,Ocotea,corymbosa,OCCO,OCCO
Ocotea diospyrifolia,OCDI,F,tree,Ocotea,diospyrifolia,OCDI,OCDI
Ocotea minarum,OCMI,G,tree,Ocotea,minarum,OCMI,OCMI
Ocotea puberula,OCPU,F,tree,Ocotea,puberula,OCPU,OCPU
Ocotea pulchella,OCPU,G,tree,Ocotea,pulchella,OCPU,OCPU
Ocotea sp1.,OCSP,F,tree,Ocotea,sp1.,OCSP,OCSP
Ocotea velloziana,OCVE,F,tree,Ocotea,velloziana,OCVE,OCVE
Ocotea velutina,OCVE,F,tree,Ocotea,velutina,OCVE,OCVE
Ouratea spectabilis,OUSP,S,tree,Ouratea,spectabilis,OUSP,OUSP
Palicourea marcgravii,PAMA,G,shrub,Palicourea,marcgravii,PAMA,PAMA
Parapiptadenia rigida,PARI,F,tree,Parapiptadenia,rigida,PARI,PARI
Pera obovata,PEOB,G,tree,Pera,obovata,PEOB,PEOB
Persea willdenovii,PEWI,F,tree,Persea,willdenovii,PEWI,PEWI
Pinus elliottii,PIEL,exo,tree,Pinus,elliottii,PIEL,PIEL
Piper mollicomum,PIMO,F,shrub,Piper,mollicomum,PIMO,PIMO
Piptadenia gonoacantha,PIGO,G,tree,Piptadenia,gonoacantha,PIGO,PIGO
Piptocarpha axillaris,PIAX,F,tree,Piptocarpha,axillaris,PIAX,PIAX
Piptocarpha rotundifolia,PIRO,S,treelet,Piptocarpha,rotundifolia,PIRO,PIRO
Plathymenia reticulata,PLRE,S,tree,Plathymenia,reticulata,PLRE,PLRE
Platypodium elegans,PLEL,F,tree,Platypodium,elegans,PLEL,PLEL
Plenckia populnea,PLPO,S,tree,Plenckia,populnea,PLPO,PLPO
Pouteria ramiflora,PORA,G,tree,Pouteria,ramiflora,PORA,PORA
Pouteria sp1.,POSP,S,tree,Pouteria,sp1.,POSP,POSP
Pouteria torta,POTO,S,tree,Pouteria,torta,POTO,POTO
Protium heptaphyllum,PRHE,G,tree,Protium,heptaphyllum,PRHE,PRHE
Prunus myrtifolia,PRMY,G,tree,Prunus,myrtifolia,PRMY,PRMY
Psidium australe,PSAU,S,shrub,Psidium,australe,PSAU,PSAU
Psidium grandifolium,PSGR,S,shrub,Psidium,grandifolium,PSGR,PSGR
Psidium grandifolium,PSGR,S,shrub,Psidium,grandifolium,PSGR,PSGR
Psidium guajava,PSGU,exo,tree,Psidium,guajava,PSGU,PSGU
Psidium laruotteanum,PSLA,S,treelet,Psidium,laruotteanum,PSLA,PSLA
Psidium salutare var. pohlianum,PSSA,S,treelet,Psidium,salutare,PSSA,PSSA
Psychotria carthagenensis,PSCA,F,shrub,Psychotria,carthagenensis,PSCA,PSCA
Psychotria vellosiana,PSVE,G,treelet,Psychotria,vellosiana,PSVE,PSVE
Qualea cordata,QUCO,S,tree,Qualea,cordata,QUCO,QUCO
Qualea grandiflora,QUGR,S,tree,Qualea,grandiflora,QUGR,QUGR
Qualea multiflora,QUMU,S,tree,Qualea,multiflora,QUMU,QUMU
Randia calycina,RACA,F,treelet,Randia,calycina,RACA,RACA
Rapanea lancifolia,RALA,F,tree,Rapanea,lancifolia,RALA,RALA
Rhamnidium elaeocarpum,RHEL,F,tree,Rhamnidium,elaeocarpum,RHEL,RHEL
Rollinia sylvatica,ROSY,F,tree,Rollinia,sylvatica,ROSY,ROSY
Roupala montana,ROMO,F,tree,Roupala,montana,ROMO,ROMO
Schefflera vinosa,SCVI,S,treelet,Schefflera,vinosa,SCVI,SCVI
Senna pendula,SEPE,F,treelet,Senna,pendula,SEPE,SEPE
Senna rugosa,SERU,S,shrub,Senna,rugosa,SERU,SERU
Siparuna guianensis,SIGU,G,tree,Siparuna,guianensis,SIGU,SIGU
Solanum lycocarpum,SOLY,S,shrub,Solanum,lycocarpum,SOLY,SOLY
Stryphnodendron adstringens,STAD,S,tree,Stryphnodendron,adstringens,STAD,STAD
Stryphnodendron rotundifolium,STRO,S,tree,Stryphnodendron,rotundifolium,STRO,STRO
Styrax camporum,STCA,S,tree,Styrax,camporum,STCA,STCA
Styrax ferrugineus,STFE,S,tree,Styrax,ferrugineus,STFE,STFE
Styrax pohlii,STPO,F,tree,Styrax,pohlii,STPO,STPO
Sweetia fruticosa,SWFR,F,tree,Sweetia,fruticosa,SWFR,SWFR
Symplocos mosenii,SYMO,G,tree,Symplocos,mosenii,SYMO,SYMO
Symplocos pubescens,SYPU,S,treelet,Symplocos,pubescens,SYPU,SYPU
Tabebuia ochracea,TAOC,G,tree,Tabebuia,ochracea,TAOC,TAOC
Tabernaemontana catharinensis,TACA,F,tree,Tabernaemontana,catharinensis,TACA,TACA
Tapirira guianensis,TAGU,G,tree,Tapirira,guianensis,TAGU,TAGU
Terminalia glabrescens,TEGL,G,tree,Terminalia,glabrescens,TEGL,TEGL
Tibouchina stenocarpa,TIST,S,tree,Tibouchina,stenocarpa,TIST,TIST
Tocoyena formosa,TOFO,S,shrub,Tocoyena,formosa,TOFO,TOFO
Trichilia pallida,TRPA,F,tree,Trichilia,pallida,TRPA,TRPA
